"hobby_no","hobby_en","category","M_under30","M_30_50","M_50_67","M_over67","F_under30","F_30_50","F_50_67","F_over67","min_age"
"Teater","Theatre","kulturell","8","15","25","25","15","25","35","30","6"
"Museum","Museums","kulturell","10","15","20","25","15","20","25","30","6"
"Kunstutstilling","Art exhibitions","kulturell","5","10","15","20","10","20","25","25","6"
"Filmklubb","Film club","kulturell","4","6","8","5","3","5","7","4","13"
"Litteratursirkel/bokklubb","Book club","kulturell","1","3","5","5","6","18","25","20","13"
"Slektsforskning","Genealogy","kulturell","1","3","8","18","1","3","10","22","16"
"Antikvarbokhandel-besok","Antiquarian bookshops","kulturell","1","3","6","8","1","3","6","8","16"
"Spille gitar","Playing guitar","kreativ","18","15","12","8","10","8","6","3","8"
"Spille piano","Playing piano","kreativ","8","8","8","5","12","10","10","8","6"
"Spille trommer","Playing drums","kreativ","6","5","3","1","3","2","1","0","8"
"Synge i kor","Choir singing","kreativ","5","8","15","20","8","12","20","25","6"
"Spille i band","Playing in band","kreativ","10","8","5","2","6","5","3","1","12"
"DJing","DJing","kreativ","8","5","2","0","4","3","1","0","13"
"Maling/tegning","Painting","kreativ","10","10","12","15","15","15","20","25","6"
"Akvarell","Watercolour","kreativ","2","4","8","10","4","8","15","18","8"
"Skulptur","Sculpture","kreativ","1","2","3","3","1","2","4","4","16"
"Keramikk","Pottery","kreativ","2","4","5","4","5","10","12","10","8"
"Foto","Photography","kreativ","20","25","25","15","18","22","22","12","10"
"Strikking","Knitting","kreativ","2","3","5","5","15","30","40","45","10"
"Hekling","Crocheting","kreativ","1","2","3","3","8","15","20","22","10"
"Sying","Sewing","kreativ","1","3","4","3","6","15","22","25","10"
"Broderi","Embroidery","kreativ","1","2","3","4","4","8","15","18","10"
"Treskjæring","Woodcarving","kreativ","2","5","8","8","1","2","3","3","12"
"Snekring (hobby)","Carpentry (hobby)","kreativ","15","30","30","15","5","8","8","3","12"
"Knivsmiing","Knife forging","kreativ","2","5","5","3","1","1","1","1","16"
"Smedarbeid","Blacksmithing","kreativ","1","2","3","2","1","1","1","1","16"
"Glassblåsing","Glassblowing","kreativ","1","1","1","1","1","2","2","2","16"
"Lærarbeid","Leatherwork","kreativ","2","3","4","3","1","2","3","3","12"
"Macrame","Macrame","kreativ","1","1","1","0","5","8","5","2","10"
"Bokbinding","Bookbinding","kreativ","1","2","2","2","1","2","3","3","12"
"Kalligrafi","Calligraphy","kreativ","1","2","3","3","2","4","6","5","10"
"Origami","Origami","kreativ","2","3","2","1","3","4","3","2","6"
"Hagearbeid","Gardening","hjem","10","30","50","50","12","35","55","55","12"
"Kolonihage","Allotment gardening","hjem","1","3","8","12","1","4","10","15","18"
"Innendørs planter (jungelhus)","Houseplants","hjem","12","15","15","10","25","30","25","18","10"
"Akvarie","Aquarium keeping","hjem","5","8","8","5","3","5","5","3","8"
"Hundeoppdrett","Dog breeding","hjem","1","2","3","2","1","2","3","2","18"
"Gaming","Gaming","digital","55","35","15","5","30","18","8","2","6"
"Tabletop RPG (D&D)","Tabletop RPG","digital","8","6","2","0","4","3","1","0","10"
"Magic: The Gathering","Magic: The Gathering","digital","5","5","2","0","2","2","1","0","10"
"Warhammer / miniatyrmaling","Warhammer","digital","4","4","2","0","1","1","1","0","10"
"LARP","LARP","digital","2","2","1","0","2","2","1","0","12"
"Cosplay","Cosplay","digital","5","2","1","0","8","3","1","0","10"
"Anime / manga","Anime/manga","digital","12","6","2","0","12","6","2","0","8"
"Speedcubing (Rubiks)","Speedcubing","digital","3","2","1","0","1","1","0","0","8"
"Programmering (hobby)","Hobby coding","digital","15","12","8","3","8","6","3","1","10"
"Podcast-lytting","Podcasts","digital","45","40","25","10","45","40","25","8","10"
"YouTube-tutorials","YouTube tutorials","digital","30","20","15","8","25","18","12","5","8"
"Streaming (Twitch)","Streaming on Twitch","digital","5","2","1","0","3","1","0","0","13"
"Vlogging","Vlogging","digital","4","2","1","0","5","2","1","0","13"
"Blogging","Blogging","digital","3","5","3","1","5","8","5","2","13"
"Sportsbetting (hobby)","Sports betting","digital","12","15","10","3","3","4","3","1","18"
"Aksjehandel (hobby)","Stock trading (hobby)","digital","8","15","15","8","3","6","8","4","18"
"Krypto-trading","Crypto trading","digital","10","8","3","1","4","3","1","0","18"
"Wikipedia-redaktør","Wikipedia editor","digital","1","2","2","1","1","1","1","1","13"
"Sjakk","Chess","spill","10","12","15","12","5","6","8","6","6"
"Brettspill","Board games","spill","30","25","18","8","28","25","18","8","6"
"Bridge","Bridge","spill","1","2","8","20","1","2","8","18","16"
"Poker","Poker","spill","8","8","5","2","3","3","2","1","18"
"Quiz-pub","Pub quiz","spill","12","15","12","5","12","15","12","5","18"
"Mahjong","Mahjong","spill","1","1","2","3","1","1","2","3","10"
"Matlaging (hobby)","Cooking (hobby)","mat","25","40","40","25","30","45","45","30","10"
"Baking","Baking","mat","10","15","15","10","25","30","30","25","6"
"Surdeigsbaking","Sourdough baking","mat","5","12","10","5","8","18","15","8","16"
"Vinkurs/vinsmaking","Wine tasting","mat","5","18","30","20","5","18","30","20","18"
"Whiskysmaking","Whisky tasting","mat","4","15","25","15","1","5","8","4","18"
"Ølbrygging (hjemme)","Brewing beer","mat","8","18","15","5","2","5","3","1","18"
"Vinmaking (hjemme)","Home winemaking","mat","1","4","8","5","1","3","5","4","18"
"Kombucha/kefir-brygging","Kombucha/kefir","mat","3","8","5","2","5","12","8","3","16"
"Fermentering / pickles","Fermenting/pickling","mat","4","10","12","6","6","15","18","10","12"
"BBQ/smoker","BBQ smoking","mat","6","18","18","8","2","5","5","2","16"
"Tredjebølge-kaffe","Third-wave coffee","mat","12","18","10","3","12","18","10","3","16"
"Mat-blogging","Food blogging","mat","3","5","3","1","8","12","8","3","13"
"Meditasjon","Meditation","wellness","8","12","15","10","12","18","22","15","12"
"Mindfulness-kurs","Mindfulness courses","wellness","5","10","12","5","10","18","20","10","13"
"Astrologi","Astrology","wellness","3","4","5","3","12","15","12","5","13"
"Tarot/spadom","Tarot reading","wellness","1","1","2","1","5","6","5","2","15"
"Krystaller","Crystals","wellness","1","2","2","1","6","8","6","2","12"
"Tantra-kurs","Tantra courses","wellness","1","3","3","1","1","3","3","1","18"
"Vipassana-retreat","Vipassana retreat","wellness","1","2","2","1","1","2","2","1","18"
"Frimerkesamling","Stamp collecting","samler","1","2","5","15","1","1","2","6","8"
"Mynt-samling","Coin collecting","samler","2","3","8","15","1","1","3","6","8"
"Klokker (samling)","Watch collecting","samler","3","8","15","10","1","2","3","3","16"
"Lego (voksen)","Adult Lego","samler","6","8","5","2","3","4","3","1","18"
"Vinyl-plater","Vinyl records","samler","8","15","18","10","5","10","12","6","13"
"Tegneserier","Comic books","samler","8","6","4","2","4","3","2","1","8"
"Modelltog","Model trains","samler","1","3","6","12","0","1","1","2","8"
"Modellfly","Model planes","samler","2","5","8","8","0","1","1","1","8"
"Klassiske biler (samling)","Classic cars","samler","1","5","12","10","0","1","2","2","18"
"Antikviteter","Antiques","samler","1","4","10","15","1","5","12","18","16"
"Knivsamling","Knife collecting","samler","2","4","6","4","0","1","1","1","16"
"Lions/Rotary-medlem","Lions/Rotary member","klubb","0","2","5","8","0","2","5","8","18"
"Frimurerlogen","Freemasons","klubb","0","1","3","4","0","0","1","1","18"
"Bridge-klubb","Bridge club","klubb","0","1","5","12","0","1","5","12","16"
"Sjakk-klubb","Chess club","klubb","3","4","5","4","1","2","2","2","6"
"Salsa-klubb","Salsa club","klubb","4","6","5","2","6","10","8","3","16"
"Swing-dans","Swing dancing","klubb","2","4","5","3","4","6","7","4","13"
"Country line-dance","Country line dancing","klubb","1","2","4","5","1","3","6","7","13"
"Karaoke","Karaoke","klubb","10","8","5","2","12","10","6","2","13"
"Tango","Tango","klubb","1","3","4","2","2","4","5","3","16"
"Frivillig: Røde Kors","Volunteering: Red Cross","frivillig","5","10","15","15","8","15","20","20","16"
"Frivillig: idrettslag-trener","Volunteering: sports coaching","frivillig","15","20","15","5","8","12","8","3","16"
"Frivillig: speiderleder","Volunteering: scouts","frivillig","5","8","10","3","5","8","10","3","18"
"Religiøs aktivitet","Religious activity","frivillig","5","8","15","25","6","10","18","30","6"
"Frivillig: matsentral","Volunteering: food bank","frivillig","3","5","8","8","5","8","12","12","16"
"Frivillig: dyrebeskyttelsen","Volunteering: animal welfare","frivillig","3","5","5","3","6","8","8","5","13"
"Lokalpolitikk","Local politics","politikk","2","8","12","8","2","8","12","8","16"
"Lokalavis-leserinnlegg","Letters to the editor","politikk","1","3","8","12","1","3","8","12","13"
"Klimaaktivisme","Climate activism","politikk","8","6","4","2","10","8","5","2","12"
"Partipolitisk arbeid","Party political work","politikk","3","5","8","8","3","5","8","8","15"
"Motorsykkel","Motorcycling","transport","8","15","12","5","2","4","4","2","18"
"Klassisk-bil-restaurering","Classic car restoration","transport","2","6","12","10","0","1","2","2","16"
"MC-tur (lange ruter)","Long-distance motorcycling","transport","4","10","12","5","1","2","3","1","18"
"Sykkelmekking","Bike repair (hobby)","transport","8","12","10","5","4","6","5","2","10"
"Drone-flyging","Drone flying","transport","6","8","5","2","2","3","2","1","10"
"Vikingrekonstruksjon","Viking reenactment","weird","2","3","4","3","2","3","4","3","10"
"Middelaldermarkeder","Medieval markets","weird","2","2","3","3","3","3","4","3","6"
"Skipsmodell i flaske","Ships-in-bottles","weird","0","1","2","4","0","0","1","2","12"
"Steam-tog-restaurering","Steam train restoration","weird","0","1","2","3","0","0","0","1","16"
"Pilegrim til Nidaros","Nidaros pilgrimage","weird","1","2","4","5","1","3","5","6","12"
"Akkord-balsam-laging","DIY balms/cosmetics","weird","1","3","3","1","4","8","8","3","13"
"Vintage scooter-samler","Vintage scooter collector","weird","1","3","3","1","0","1","1","1","18"
"Bonsai","Bonsai","weird","1","2","4","3","1","2","3","3","12"
"Trolldyrking (heksetro)","Witchcraft practice","weird","1","1","1","0","4","4","3","1","15"
"Skogsbad (shinrin-yoku)","Forest bathing","weird","1","2","3","2","2","4","5","3","12"
"Aerial yoga / trapes","Aerial yoga / trapeze","weird","1","2","1","0","3","4","2","0","13"
"Pole fitness","Pole fitness","weird","1","1","1","0","5","5","2","0","16"
"Burlesque","Burlesque dance","weird","0","1","1","0","3","3","1","0","18"
"Såpelaging (hjemme)","Home soap making","weird","0","2","2","1","3","6","5","2","12"
"Treplanting-aktivist","Tree planting activism","weird","2","3","3","2","3","4","4","2","12"
"Fjellgeit-stryking","Mountain goat photography","weird","0","1","1","1","0","1","1","1","12"
"Insektsamling (entomologi)","Insect collecting","weird","0","1","2","2","0","0","1","1","6"
